source_id;country;site;insecticide_control;month_start;month_end;year_start;year_end;season_given;species;dissected_non_gravid;parous;parous_with_sac;sac_rate;sac_rate_percent;pubmed_id;citation;remark
9013;Cambodia;Mondolkiri;;2;12;2012;2013;;Anopheles dirus s.l.;379;220;;0.34;34;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pailin;;2;12;2012;2013;;Anopheles dirus s.l.;5;2;;0.5;50;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pursat;;2;12;2012;2013;;Anopheles dirus s.l.;11;2;;1;100;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pursat;;2;12;2012;2013;;Anopheles jamesii;105;78;;0.42;42;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Mondolkiri;;2;12;2012;2013;;Anopheles kochi;53;35;;0.6;60;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pursat;;2;12;2012;2013;;Anopheles kochi;300;215;;0.74;74;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Mondolkiri;;2;12;2012;2013;;Anopheles maculatus s.l.;5;3;;0.33;33;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pailin;;2;12;2012;2013;;Anopheles maculatus s.l.;232;122;;0.52;52;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pursat;;2;12;2012;2013;;Anopheles maculatus s.l.;389;214;;0.49;49;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
9013;Cambodia;Pailin;;2;12;2012;2013;;Anopheles minimus s.l.;835;568;;0.6;60;27405767;Charlwood JD, Nenhep S, Sovannaroth S, Morgan JC, Hemingway J, Chitnis N, et al. 'Nature or nurture': survival rate, oviposition interval, and possible gonotrophic discordance among South East Asian anophelines. Malar J. 2016;Table 3
